,period,semi_minor_axis,periapsis_altitude,inclination,semi_major_axis,speed,radius,eccentricity,body,time_to_apoapsis,longitude_of_ascending_node,argument_of_periapsis,time_to_periapsis,periapsis,apoapsis,apoapsis_altitude
0,552.0214629,30638.66679,-598436.2683,0.001696639,300940.6659,187.3758673,600112.289,0.994804925,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,7.141175518,2.696201063,1.574485342,283.2878936,1563.768313,600282.9062,299.9126265
1,553.2868663,30651.29494,-598437.4859,0.001696642,301419.1434,225.1390912,600241.5544,0.994816142,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,14.58523462,2.695247939,1.577714647,291.2286678,1562.514114,601275.7727,1275.772678
2,555.1254454,30675.80086,-598438.4553,0.001696647,302086.5205,270.4629006,600416.1585,0.994830803,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,21.29018804,2.694340631,1.580839699,298.8529107,1561.544651,602611.4963,2611.496318
3,557.7846381,30715.1439,-598439.4424,0.001696654,303050.4663,324.993496,600656.9182,0.994850503,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,28.39359769,2.693386083,1.584102002,307.2859168,1560.55758,604540.3751,4540.375103
4,561.3972569,30771.60856,-598440.4461,0.001696664,304357.5747,386.7829754,600967.0009,0.994875916,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,35.9751962,2.692380579,1.587516142,316.6738247,1559.553927,607155.5954,7155.595386
5,566.3935342,30852.38886,-598441.5067,0.001696677,306160.7044,458.7132829,601351.8484,0.994909558,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,44.58749336,2.691279863,1.591262376,327.7842605,1558.493278,610762.9155,10762.91552
6,573.0825349,30962.73617,-598442.6102,0.001696695,308566.4514,539.6485319,601819.7149,0.994952822,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,54.26632301,2.690078859,1.59532628,340.8075905,1557.38981,615575.5129,15575.5129
7,581.9676379,31110.40134,-598443.8072,0.001696717,311747.6204,630.1821428,602378.1995,0.995008165,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,65.27846779,2.68879961,1.599716921,356.2622867,1556.192805,621939.048,21939.048
8,586.5726483,31188.95716,-598444.1563,0.001696728,313389.9963,666.3823692,603017.5768,0.995035439,<krpc.services.spacecenter.CelestialBody object at 0x000002AF8A015DF0>,69.87157584,2.688185944,1.601737837,363.1579,1555.843693,625224.1488,25224.14883
